,x_old,x_new,y
41,"Frustrating.  We told dispatch we needed a car for 5 people and 4 suitcases, they said no problem. They arrive with an older grand marquis that holds 4 with the driver. When we asked why a van or suv wasn't used, we were told by the polite driver this was the largest vehicle they had. I practically had to sit on the driver's lap to the airport with my bf pulling me to his side of the passenger seat. If this company can't handle 5 people and 4 suitcases, they should say so, so one can find a company that can accommodate a group of 5 with 4 large bags.","bilk . we told dispatch we needed a gondola for 5 multitude and 4 grip , they enunciate no problem . they arrive with an sure-enough wonderful marquess that accommodate 4 with the driver . when we asked why a van or suv wasn ' t used , we were narrate by the cultured device this was the largest fomite they had . i practically had to sit on the driver ' s lap to the drome with my bf pulling me to his side of the rider seat . if this company can ' t handle 5 hoi and 4 suitcases , they should sound so , so one can find a fellowship that can accommodate a group of 5 with 4 large bags .",0
42,"Stayed here while in Charlotte for a meeting.  First impressions were not good.  The desk clerk was busy on the phone taking a reservation and didn't bother to acknowledge me standing there.   \n\nThe lobby and breakfast room are being renovated and are a mess.  The workers had left bottles of water and various equipment in the hallway/stairwell.  Not professional at all.  I passed on the breakfast as I didn't really want to eat it while surrounded by construction debris and dust.\n\nI really wish that their web site had alerted me to the renovations.\n\nThe room was clean, nice sized and in pretty good shape.  The bed was comfortable.","stayed here while in charlotte for a meeting . first impressions were not estimable . the desk clerk was busy on the phone taking a reservation and didn ' t bother to acknowledge me standing there . \ n \ nthe lobby and breakfast room are being renovated and are a raft . the workers had left bottles of water and various equipment in the hallway / stairwell . not professional at all . i passed on the breakfast as i didn ' t really want to eat it while surrounded by construction debris and dust .\ n \ ni really wish that their web site had alerted me to the renovations .\ n \ nthe room was clean , nice sized and in pretty good shape . the bed was comfortable .",0
43,Noticed a few reviews complaining about cold French onion soup so I brought that up with the Waiter he assured me it would be hot so I tried it off course it came out cold.  Didnt think the flavor was to good.  Ordered chicken salad  sandwich and it was whole wheet croissant. Why would some want a healthy croissant that makes no sense and why would the menu not explain that.,mark a few critique quetch about dusty gallic allium soup then i contribute that up with the server he ensure me it would be live so i sample it off trend it do out coldness . didnt guess the savor was to skillful . regularise chicken salad sandwich and it was whole wheet croissant . why would some want a healthy croissant that makes no sense and why would the computer not explain that .,0
44,Wings were not good. Tasted very bland. Friendly service though. Not too many people here. TV was way too loud for the amount of people. Not sure how the 'family friendly' fits in: it's just another sports bar with blah food.,extension were not undecomposed . savor really bland . friendly service though . not too many multitude here . tv was way too forte for the sum of people . not certain how the ' crime friendly ' paroxysm in : it ' s just another fun prevention with blah food .,0
45,"I wanted to see why people like this place. Really? I got my order in Spanish and the TV had some obnoxious soap opera en Espanol so I had really high hopes for this place. Then I opened my box and was like WTF? You know it's not a good sign when you feel the grease in your mouth before you even touch your food.\n\n I ordered a chicken quesadilla and a taco with rice and beans. The quesadilla felt like it was prepared by a 10 year old white girl who decided to use her mother's left over grease from a week ago to experiament with cooking for the first time. The taco was whatever. My Bulgarian mother has made more authentic tacos than that. The beans were good, but if they fucked those up I'd be worried. They have them premade in cans. Sure, the portions were large, but what happened to quality over quantity? I blame my negative reviews due to my travels. If I had never traveled to Mexico or didn't seek out Mexican food frequently, I probably would have loved this place.\n\nOh also, customer service....forget it. Nobody smiles here. They're probably pissed they have to eat their own food on their lunch break though so that's why I give this place two stars.","i wanted to attend why multitude like this space . truly ? i convey my society in spanish and the tv experience some obnoxious goop opera nut espanol then i stimulate very eminent promise for this spot . then i afford my corner and was like wtf ? you love it ' s not a beneficial star when you experience the grease in your sass before you even have-to your food .\ north \ nitrogen i consecrate a volaille quesadilla and a taco with elmer and noodle . the quesadilla felt like it was prepared by a 10 year older white girl who settle to use her female ' s left over grease from a week ago to experiament with cooking for the first time . the taco was whatever . my bulgarian female experience made more authentic tacos than that . the dome were good , but if they fucked those up i ' d be worried . they have them premade in cans . sure , the portions were large , but what happened to quality over quantity ? i blame my negative reviews due to my travels . if i had never traveled to mexico or didn ' t seek out mexican food frequently , i probably would have loved this place .\ n \ noh also , customer service .... forget it . nobody smiles here . they ' re probably make they have to eat their own food on their lunch break though so that ' s why i give this place two stars .",0
46,"I've been coming to Benjamin's for years and it's always been my favourite restaurant in St. Jacobs. It's now called DH Food & Lodging, but everything else is pretty much the same.\n\nI got the burger and potato salad for lunch today. The potato salad is usually stellar, but it was in need of a bit of salt on this occasion. Also, the potato salad portion looks kind of stingy and it is compared to size of the portion of french fries my dining companions received as their sides, but the burger is filling so you won't feel deprived. \n\nThe burger patty has this incredible depth of flavour. The grass-fed beef really shows through in the grassy umami flavour that permeates every bite. The burger patty was juicy, luscious, and delicious. The bun and toppings were perfectly serviceable and did not distract from the amazing flavour of the beef.","i ' ve been issue to benjamin ' s for age and it ' s ever been my pet eating in st . jacob . it ' s now scream dh solid & lodgement , but everything else is reasonably much the same .\ nitrogen \ atomic fuck the warren and tater salad for luncheon today . the tater salad is normally star , but it was in motive of a scrap of table on this occasion . also , the tater salad portion looks sort of stingy and it is liken to sizing of the circumstances of gallic fries my dining companions received as their slope , but the warren is filling so you won ' t feel deprived . \ n \ nthe burger patty has this incredible profoundness of flavour . the grass - frs beef really shows through in the grassy umami flavour that permeates every sting . the warren cake was juicy , red-hot , and scrumptious . the roll and topping were absolutely serviceable and do not deflect from the awful smack of the bitch .",1
47,"Finally got to try Copper with a large group of friends the other night.  I had been drooling over the menu for a week or so when we had made plans to go.  I definitely was not disappointed with my experience here!  \n\nOur waiter was super awesome and very charming - he had this dry sense of humor that really worked especially with a big group.  My favorite line that came from him was when we were asking about heat levels and someone had mentioned they wanted a \""kick\"".... and he responded with a dead-serious look on his face:  \""flying kick\"" or \""regular kick\"".... I was rolling on the floor laughing and it took a couple of my friends a repeat of what was just said to get them on board with my flailing of hands and obnoxious laughter.\n\nNot sure if every table gets this, but we were a table of six and we got a basket of regular Naan with 3 different dipping sauces.  Super delicious.\n\nI was feeling very adventurous that night and saw that the first course selections had a \""Soup of the Day\"".... I totally ordered it without asking what it was.  Our waiter replied that the soup was Tomato.... and I was a bit saddened, but still ordered it anyway.  Later he came back and said he was mistaken and the soup was a coconut bell pepper soup.  Sounded great, and was a great surprise.  Best accidental soup of the day ordering ever.  When the soup came, I had to let everyone try it because it was just THAT good.  It was everything that the name promised and more.\n\nMy main course was the Saunfiya Kesri Chicken which was on the \""modern\"" section.  Who wouldn't pick it based on its description alone?:  Saffron-Fennel Roasted Chicken Breast, Fennel-Chive Creme, Mixed Vegetables!!!!!!  There was a heavy hand of black pepper on the veggies that I really really really really enjoyed and it went perfect with the chicken.  I wanted to fill an Olympic-sized pool with the creme sauce and do laps in it.\n\nHaving a really good time with the food, I convinced my friend to split a dessert with me and we partook in the \""Three Excuses\""... they had great dessert names on the menu.  The excuses included a flour-less \""Callibaut\"" chocolate torte, gulab jamun, baileys kulfi.  ALL WERE GREAT and a nice way to end the meal.\n\nFelt a little guilty when the check came - I had 2 glasses of wine with my meal and probably spent way more than I should for one person for one dinner, but I enjoyed it tremendously.  Other than the prices being a bit high for some of the dishes and a small side parking lot situation, this place is a solid 4 stars.","finally got to try copper with a large group of friends the other night . i had been drooling over the menu for a week or so when we had made plans to go . i definitely was not disappointed with my experience here ! \ n \ nour waiter was super awesome and very charming - he had this dry sense of humor that really worked especially with a big group . my favorite line that came from him was when we were asking about heat levels and someone had mentioned they wanted a \"" kick \"".... and he responded with a dead - serious look on his face : \"" flying kick \"" or \"" regular kick \"".... i was rolling on the floor laughing and it took a couple of my friends a repeat of what was just said to get them on board with my flailing of hands and obnoxious laughter .\ n \ nnot sure if every table gets this , but we were a table of six and we got a basket of regular naan with 3 different dipping sauces . super scrumptious .\ n \ ni was feeling very adventurous that night and saw that the first course selections had a \"" soup of the day \"".... i totally ordered it without asking what it was . our waiter replied that the soup was tomato .... and i was a bit saddened , but still ordered it anyway . later he came back and said he was mistaken and the soup was a coconut bell pepper soup . sounded great , and was a great surprise . serious accidental soup of the day ordering ever . when the soup came , i had to let everyone try it because it was just that good . it was everything that the name promised and more .\ n \ nmy main course was the saunfiya kesri chicken which was on the \"" modern \"" section . who wouldn ' t pick it based on its description alone ? : saffron - fennel roasted chicken breast , fennel - chive creme , mixed vegetables !!!!!! there was a heavy hand of black pepper on the veggies that i really really really really enjoyed and it went perfect with the chicken . i wanted to fill an olympic - sized pool with the creme sauce and do laps in it .\ n \ nhaving a really good time with the food , i convinced my friend to split a dessert with me and we partook in the \"" three excuses \""... they had great dessert names on the menu . the excuses included a flour - less \"" callibaut \"" chocolate torte , gulab jamun , baileys kulfi . all were great and a nice way to end the meal .\ n \ nfelt a little guilty when the check came - i had 2 glasses of wine with my meal and probably spent way more than i should for one person for one dinner , but i enjoyed it tremendously . other than the prices being a bit high for some of the dishes and a small side parking lot situation , this place is a solid 4 stars .",1
48,"Just go and put a pair on and walk around.  Same goes for Jimmy Choo.  These are fantastik shoes, engineered very well for standing/dancing for hours.  They look amazing and are totally unique.  I'm a huge fan of Manolos and Choos!","just pop and cast a duet on and take around . same go for jimmy choo . these are fantastik shoe , organize really comfortably for support / dance for hour . they face awful and are wholly singular . i ' m a immense sports of manolos and choos !",1
49,"Stripsteak is AMAZING.  We got a $50 gift card from restaurants.com (for 25 bucks) and when we got there we got the prix fix menu.  When we sat down, they give you a complimentary trio of duck fat fries with 3 different dipping sauces...ok these were DELISH...probably the best french fries I've ever eaten.  Then I chose to get the salad---which was fresh and good---my bf got the crab soup....very good (the crab taste is very subtle and not overwhelming).  Then the steaks came out...it was cooked to perfection and seasoned to perfection.  The steaks were pretty large compared to other steakhouses I've been to----Ruth Chris, Flemings, Mortons, Houstons.  The sides come in small dishes (we got the truffle mac and cheese and broccoli)...delish!  The sides are very small...but very good.  The service was slow...but hey, we were in Vegas....not in a huge rush to get anywhere.  The decor is nice and modern and sleek.  Stainless steel everything.  This place is expensive-----so I recommend going to Restaurants.com and getting the coupon first.","stripsteak is awful . we commence a $ 50 talent visiting from eatery . com ( for 25 sawbuck ) and when we get there we commence the prix jam fare . when we ride down , they gift you a costless triple of duck's fat fries with 3 dissimilar dipping sauce ... ok these were delish ... likely the honorable gallic fry i ' ve ever eaten . then i select to commence the salad --- which was novel and respectable --- my bf develop the crabmeat soup .... really honest ( the cancer tasting is really elusive and not overwhelming ). then the steak came out ... it was cooked to perfection and harden to perfection . the steak were reasonably declamatory liken to other steakhouse i ' ve been to ---- book chris , sir , morton , samuel . the position occur in diminished beauty ( we stupefy the chocolate macintosh and malva and brassica )... delish ! the face are really diminished ... but very good . the service was slow ... but hey , we were in lope .... not in a huge rush to get anywhere . the decor is nice and modern and sleek . unsullied sword everything . this home is expensive ----- so i commend kick to restaurant . com and experience the voucher first .",1
50,"Every time I go to Vegas, I have to eat here!  The sushi is amazing and the staff is great!  I love the half price sushi if you come in late!","every clip i pop to vegas , i have to run here ! the sushi is awful and the faculty is great ! i enjoy the half terms sushi if you get in recent !",1
51,"The other reviews are pretty spot on... this place was downright baaaddd. A buddy and I went there for lunch and I was pretty stoked to eat some fish and chips. The menu was what I expected and there were a decent number of combinations and options. Prices were pretty good. That is where the good ends though. \n\nThe fish and chips comes with the 'special sauce' and you have to pay an extra 50 cents to get a side of tartar sauce. 50 cents isn't a big deal but really what kind of fish and chips doesn't come with tartar sauce included!? That said, the tartar sauce was decent. There is only outside seating and most of the tables were pretty dirty. When our food came I was instantly turned off by the square fish pieces...it just screamed of store-bought frozen fish pieces. My buddy got the chicken tenders and they looked (and tasted) like an inferior version of the bags of tyson frozen chicken tenders you can get at most grocery stores. The special sauce was sort of a runny ketchup, it was OK but I think I would have just preferred ketchup for my fries. The fish was very bleh. Tasted like old frozen fish. The battering was OK but there was way too much salt that had been sprinkled on top...maybe to mask the old fish taste? \n\nApparently this place has a decent community following, but if you're looking for some good fish and chips I'd avoid this place like the plague. Some of the worst fish I've ever had.","the other reexamination are fairly spotlight on ... this home was downright baaaddd . a brother and i function there for luncheon and i was jolly stoked to rust some pisces and buffalo . the fare was what i bear and there were a adequate bit of combining and selection . leontyne were pretty good . that is where the good ends though . \ n \ nthe fish and chips comes with the ' special sauce ' and you have to pay an extra 50 cents to get a side of tartar sauce . 50 cents isn ' t a big deal but really what kind of fish and chips doesn ' t come with tartar sauce included !? that said , the tartar sauce was decent . there is only outside seating and most of the tables were pretty unclean . when our food came i was instantly turned off by the square fish pieces ... it just call of store - bought frozen fish pieces . my buddy got the chicken tenders and they looked ( and tasted ) like an subscript version of the bags of tyson frozen chicken tenders you can get at most grocery stores . the special sauce was sort of a runny ketchup , it was fine but i think i would have just preferred ketchup for my fries . the fish was very bleh . savor like old frozen fish . the banging was fine but there was way too much salinity that had been sprinkled on circus ... possibly to cloak the old fish appreciation ? \ n \ napparently this place own a nice community following , but if you ' re reckon for some good fish and chips i ' d avoid this space like the plague . some of the uncollectible fish i ' ve ever had .",0
52,"Sigh. So sad to have to update my review here. Went for lunch with the hubs on a week day. Got in around 11:30am so we could beat the crazy lunch rush. Ordered the usual, egg rolls (delish by the way) and our pho bowls.  This is where things started to go downhill.  1) I ordered the large pho (I love me some extra broth) but I got the regular. 2) Hubs ordered a side of extra meat on the side. No extra meat on the side (they tried to tell us at the end that it was put into the soup. Nice try, but that's funny that every other time they've put it on the side.). 3) Asked for cilantro (I like a little pho with my cilantro, thank you very much), and they were OUT. Completely out of cilantro. How the hell does that happen?? At 11:30am? Are you kidding me.  3 strikes and you're out. Next time I will be going to Saigon Pho.","suspiration . then sorry to have to update my follow-up here . snuff for luncheon with the hub on a calendar solar . stick in around 11 : 30am so we could exhaust the wild luncheon thrill . regularise the common , ballock scroll ( delish by the style ) and our pho sports . this is where matter jump to conk downhill . 1 ) i ordered the large pho ( i love me some extra stock ) but i acquire the regular . 2 ) hub ordered a side of extra meat on the side . no extra meat on the side ( they tried to tell us at the end that it was put into the soup . nice try , but that ' s funny that every other time they ' ve redact it on the side .). 3 ) involve for coriandrum ( i like a small pho with my coriandrum , thank you really much ), and they were out . totally out of coriander . how the pit dress that bump ?? at 11 : 30am ? are you chaff me . 3 work and you ' re out . next clip i will be function to saigon pho .",0
53,"Update:\n\nI'm so annoyed. It's been 4 weeks to the day and I've had nothing but touchscreen issues since my repair.\n\nAlthough their employees are really nice, you're better off just taking your phone straight to apple. At least it's a guaranteed fix. You get what you pay for, I should've known better. It's like taking your expensive foreign car to the discounted mechanic. Bad! \n\nMy phone screen can't type, it opens apps and makes calls, it closes apps on it's own and is driving me mental.\n\nI'm over it, bought a new 5s today and will only take it to apple if I encounter any further issues. \n\nI wanted to like this place and I feel bad updating my review with a 1 star, but it is what it is.","update :\ n \ ni ' m so annoyed . it ' s been 4 calendar to the day and i ' ve had nothing but touchscreen issues since my hangout .\ n \ nalthough their employee are very nice , you ' re best off just select your earpiece straight to apple . at least it ' s a guaranteed fixture . you grow what you devote for , i should ' ve love comfortably . it ' s like taking your expensive extraneous car to the brush shop . big ! \ n \ nmy sound crt can ' t character , it spread apps and makes song , it closes apps on it ' s own and is motor me genial .\ northward \ nickel ' molarity over it , purchase a new 5s today and will only carry it to orchard if i run any farther topic . \ n \ atomic need to wish this plaza and i experience uncollectible updating my critique with a 1 whiz , but it is what it is .",0
54,"I read some pretty good reviews on here about this place so I figured I'd try it out since its right near my house. Service was pretty good, they were nice, but she didn't do my design correctly, if you can even call it that. I asked for red with simple neat white polka dots, even showed her a picture, a really simply design. It started off not so great, she was really rough when cutting my cuticles, to the point i was jumping and wincing and had to tell her multiple times she was hurting me. Once it came to the simply white polka dots she decided to freestyle, all different sizes of polka dots, ok ok not that big a deal, then out of nowhere she pulls out black and throws a ton of dots on top of that. You could barely see the red with the mess of crazy sized dots on my toes. Maybe you're thinking I'm just some picky rude customer that complains about everything, I truly am not, I don't think think its much to ask to paint some nails red then poke a few simple white dots. Saying all that, I only went that one time and I am a firm believer in giving a place a few chances so Ill probably go back once more and see if maybe my first experience wasn't just a fluke. For now, its only getting 2 stars and its lucky to get that.","i learn some fairly good limited on here about this shoes then i work i ' d assay it out since its rightfulness near my family . service was pretty good , they were nice , but she didn ' t coiffe my design correctly , if you can even call it that . i asked for red with simple neat white polka dots , even demonstrate her a picture , a really simply design . it started off not then great , she was really fierce when cutting my epidermis , to the spot i was jumping and funk and accept to assure her multiple times she was bruise me . once it came to the just clean polka dot she adjudicate to freestyle , all dissimilar size of polka transportation , very ok not that bad a flock , then out of nowhere she pulls out black and fox a net of transportation on summit of that . you could scarcely encounter the red-faced with the good of half-baked size back on my toe . possibly you ' re believe i ' m just some picky rude customer that complains about everything , i genuinely am not , i don ' t think guess its much to require to paint some nail red then poke a few simple snowy dots . enunciate all that , i only fail that one time and i am a firm believer in gift a place a few chances so badly credibly kick back once more and see if maybe my first experience wasn ' t just a fluke . for now , its only getting 2 stars and its lucky to get that .",0
55,"THIS PLACE IS HORRIBLE! DO NOT EAT HERE!\nThe food is over priced, and the service is terrible!! I came in and ordered the Chicken Burger and salad which was over priced and tasted like shit. It took over half an hour to get the food and once I got it there was a LARVA IN MY SALAD!!!!!!!! If you want insects in your food come to CENTRAL!!! yay!","this space is atrocious ! coiffure not run here !\ nthe nutrient is over price , and the robert is tremendous !! i follow in and regularize the volaille warren and salad which was over price and try like diddlysquat . it select over half an hr to experience the nutrient and once i become it there was a larva in my salad !!!!!!!! if you want louse in your food add to fundamental !!! yay !",0
56,"The restrooms resemble circa 1960 high school P.E. bathrooms and showers.  We were on the road two and a half weeks and by far this was the worst campground for amenities.  The Men's restroom had one urinal, one toilet and, as Josh B said, two showers with a single shared wood bench and vestibule.  The lids on the dumpster next to the restroom were flopped open and no one seemed concerned about the flies buzzing around the open containers.","the restrooms resemble circa 1960 high school p . e . bathrooms and showers . we were on the route two and a half weeks and by far this was the big campsite for creature . the mankind ' s restroom had one urinal , one toilet and , as josh b said , two showers with a exclusive divvy woodwind work and vestibule . the hat on the dumpster next to the public were founder open and no one look concerned about the tent hum around the capable containers .",0
57,LOVE the Kung Pao Calamari! Definitely one of those craveable foods!,fuck the kung pao squid ! unquestionably one of those craveable food !,1
58,"So my boyfriend and I headed over to Sushi Mon on the recommendation of my friend [our mistake since that guy doesn't even eat raw fish] one day for lunch.  We both had gotten the All-You-Can-Eat lunch.  So now begins the critique:\n\nThe fish was not fresh.  Everything had this soggy texture that comes from defrosting.  I work at a restaurant so you can't fool me.  Although the portions were decent, everything that had some kind of sauce was over done.  Our soft shell crab had so much ponzo sauce, it became overly salty.  That's the typical way of getting a customer to fill up on water and have them stop ordering food.\n\nOverall, this place wasn't as good as we expected but we still left with a full belly.","indeed my fellow and i direct over to sushi monday on the good of my champion [ our fault since that cat doesn ' t even run new pisces ] one solar for luncheon . we both feature become the all - you - can - exhaust luncheon . then now lead the review :\ nitrogen \ nthe pisces was not novel . everything feature this sloughy grain that hail from defrost . i study at a eating so you can ' t fool me . although the destiny were decent , everything that had some kind of sauce was over dress . our soft shell crab had so much ponzo sauce , it suit too salty . that ' s the typical way of getting a customer to fill up on water and have them kibosh ordering food .\ n \ noverall , this place wasn ' t as skillful as we ask but we nonetheless lead with a broad belly .",0
