,Dataset,Average number of tokens,Number of unique tokens,Minimum number of tokens,Maximum number of tokens,Mean distance,Fisher ratio,CalHara Index,DaBou Index,Number of cluster,Pearson Med,Number of labels,Kurtosis,Misclassification rate,Number of classes,ASR_TextFooler,ASR_PWWS,ASR_BERT,ASR_DeepWordBug
104,dbpedia,66.14777778,9402,11,333,0.617332145,1.353837885,92.26925891,1.840432263,13,0.128920513,14,1.821504848,0.96,14,0.47,0.3,0.55,0.08
105,amazon_review_polarity,100.0455556,9013,18,421,0.351944883,2.094789462,1881.120937,2.688543951,3,0.0,2,0.0,0.61,2,0.86,0.91,0.88,0.41
106,dbpedia,67.51666667,9775,10,156,0.613770153,1.372791011,93.5609874,1.894550853,13,-0.251435888,14,2.926654925,0.94,14,0.38,0.3,0.49,0.08
107,yelp_review_polarity,183.7011111,9054,4,1328,0.454988838,1.484661797,1333.226294,2.123088598,2,0.0,2,1.0,0.86,2,0.83,0.9,0.84,0.34
108,yelp_review_polarity,178.8955556,9093,4,1402,0.452721036,1.499406777,1346.467286,1.888100792,2,0.0,2,1.0,0.83,2,0.8,0.73,0.72,0.24
109,dbpedia,67.15222222,9685,9,175,0.610149602,1.375086319,93.71742141,1.771518602,14,0.821846869,14,2.290573517,0.92,14,0.47,0.28,0.48,0.1
110,yelp_review_polarity,187.8088889,9157,5,1301,0.449480171,1.49632838,1343.702885,1.764306182,3,0.0,2,1.0,0.63,2,0.76,0.83,0.82,0.27
111,dbpedia,65.96888889,9572,11,532,0.611044905,1.368138161,93.24387772,1.674724402,16,0.895664664,14,2.428386424,0.98,14,0.39,0.32,0.64,0.12
112,yelp_review_polarity,186.6588889,9225,7,1450,0.45303298,1.484111738,1332.732341,1.941868004,2,0.0,2,1.0,0.89,2,0.79,0.8,0.86,0.21
113,dbpedia,67.66555556,9715,12,176,0.619893199,1.351576824,92.11515896,1.899035681,15,-0.117810736,14,2.742030863,0.91,14,0.48,0.4,0.54,0.09
114,dbpedia,67.85,9694,11,156,0.611014,1.364271413,92.98034397,1.720114773,15,-0.327093281,14,2.109723695,0.92,14,0.43,0.35,0.66,0.07
115,amazon_review_polarity,100.0633333,8832,19,261,0.362154272,2.029256464,1822.272305,2.410706971,4,0.0,2,1.0,0.59,2,0.69,0.68,0.87,0.31
116,ag_news,44.67777778,7283,11,208,0.431682274,2.023548491,604.3664826,2.073475367,11,-0.189358321,4,1.885001825,0.79,4,0.6,0.53,0.54,0.16
117,amazon_review_polarity,100.0333333,9011,18,289,0.35047021,2.09295343,1879.47218,2.330309817,6,0.0,2,1.0,0.92,2,0.72,0.73,0.8,0.29
118,yelp_review_polarity,187.0044444,9260,5,1259,0.453588699,1.494498289,1342.059463,1.837903841,2,0.0,2,1.0,0.56,2,0.8,0.81,0.86,0.31
119,dbpedia,66.26666667,9671,13,282,0.616983511,1.353854221,92.27037231,1.843876345,15,1.250661739,14,4.348072501,0.93,14,0.52,0.42,0.58,0.07
120,yelp_review_polarity,193.5766667,9265,7,1297,0.447111545,1.51420057,1359.752112,1.743822167,2,0.0,2,1.0,0.68,2,0.75,0.72,0.86,0.39
121,amazon_review_polarity,97.50777778,8790,20,305,0.354314048,2.050925502,1841.731101,2.350482057,3,0.0,2,1.0,0.92,2,0.84,0.82,0.9,0.33
122,yelp_review_polarity,190.3688889,9232,6,1550,0.455251345,1.48414029,1332.75798,2.004051595,2,0.0,2,1.0,0.63,2,0.59,0.57,0.74,0.3
123,dbpedia,66.45666667,9730,13,219,0.611671697,1.372354307,93.53122429,1.768961352,13,0.428032548,14,2.707858188,0.9,14,0.49,0.35,0.64,0.05
124,yelp_review_full,190.88,9138,4,1213,0.326768683,1.480430773,331.2463854,1.719390643,2,0.0,5,1.67731569,0.83,5,0.85,0.96,0.94,0.65
125,amazon_review_polarity,97.86222222,8948,16,278,0.358914187,2.079261605,1867.176921,2.469049487,2,0.0,2,1.0,0.58,2,0.55,0.54,0.64,0.35
126,amazon_review_polarity,96.80666667,8840,17,523,0.350675471,2.101092496,1886.781062,2.410714273,4,0.0,2,1.0,0.86,2,0.66,0.69,0.84,0.31
127,ag_news,45.87444444,7305,10,214,0.422778415,2.010401909,600.4400367,2.410859625,2,-0.564432521,4,1.418513588,0.76,4,0.64,0.61,0.56,0.16
128,amazon_review_polarity,96.87444444,8938,21,286,0.354786039,2.074306229,1862.726994,2.144205284,2,0.0,2,1.0,0.58,2,0.78,0.75,0.91,0.3
129,yelp_review_polarity,190.1277778,9144,7,1183,0.452719862,1.483535165,1332.214578,1.614864034,2,0.0,2,1.0,0.81,2,0.82,0.85,0.89,0.33
130,amazon_review_polarity,101.5877778,9054,17,381,0.353106341,2.058915512,1848.90613,2.300729407,5,0.0,2,1.0,0.89,2,0.78,0.76,0.88,0.25
131,ag_news,46.54,7418,11,212,0.423759621,2.005839446,599.0773813,2.554681659,3,0.685994341,4,2.071767269,0.78,4,0.65,0.57,0.56,0.23
132,amazon_review_polarity,98.08666667,9119,17,433,0.353661861,2.092203993,1878.799186,2.419535088,3,0.0,2,1.0,1.0,2,0.56,0.55,0.65,0.29
133,yelp_review_polarity,201.6077778,9536,6,1248,0.45274579,1.476533207,1325.92682,1.844409838,4,0.0,2,1.0,0.95,2,0.78,0.78,0.82,0.22
134,ag_news,45.10777778,7342,12,207,0.422257499,2.034912827,607.7606311,2.938710301,2,0.707106781,4,1.407407407,0.81,4,0.6,0.59,0.61,0.17
135,dbpedia,66.20888889,9647,12,249,0.617957925,1.362821797,92.88154709,1.752095424,17,0.141618185,14,2.39120522,0.93,14,0.46,0.34,0.56,0.09
136,yelp_review_polarity,184.8211111,8944,3,1384,0.446551496,1.503615791,1350.24698,1.668529587,2,0.0,2,1.0,0.56,2,0.74,0.76,0.88,0.29
137,dbpedia,67.6,9768,11,158,0.620146549,1.340093116,91.33250009,1.8640165,11,-0.409768774,14,3.561022499,0.91,14,0.5,0.38,0.64,0.13
138,ag_news,46.28222222,7362,10,345,0.425211738,2.040424412,609.4067576,2.406309293,4,0.834829759,4,2.0,0.77,4,0.64,0.62,0.61,0.12
139,yelp_review_polarity,177.0755556,8990,6,1240,0.448632328,1.509029049,1355.108086,1.938481925,3,0.0,2,1.0,0.66,2,0.82,0.86,0.78,0.23
140,dbpedia,66.56,9653,7,146,0.608187203,1.357811421,92.54007069,1.904006029,12,0.307459347,14,2.567440683,0.9,14,0.49,0.4,0.57,0.06
141,yelp_review_polarity,195.7211111,9422,9,1711,0.463053907,1.443171416,1295.967931,1.803306594,2,0.0,2,1.0,0.49,2,0.75,0.77,0.86,0.31
142,dbpedia,66.26888889,9507,12,430,0.628377284,1.324505046,90.27011314,2.012078711,11,0.595749305,14,2.091920294,0.96,14,0.49,0.39,0.61,0.1
143,dbpedia,65.58777778,9369,5,159,0.611532736,1.363522753,92.92931997,1.817576503,12,-0.084575112,14,2.779455419,0.96,14,0.43,0.38,0.56,0.1
144,ag_news,45.96333333,7368,16,209,0.425700821,2.015126955,601.8512507,3.257612233,2,0.334887343,4,1.969866364,0.75,4,0.63,0.62,0.61,0.21
145,amazon_review_polarity,97.32666667,8783,21,370,0.354492401,2.066154726,1855.406944,2.265394135,5,0.0,2,1.0,0.98,2,0.72,0.73,0.82,0.3
146,ag_news,45.88,7324,14,206,0.422689859,2.012772766,601.1481327,2.239641245,6,-0.4077766,4,1.822581591,0.76,4,0.74,0.63,0.61,0.16
147,yelp_review_polarity,194.6733333,9384,4,1331,0.455226004,1.481781779,1330.640038,1.976881185,2,0.0,2,1.0,0.94,2,0.81,0.74,0.77,0.26
148,ag_news,46.05555556,7393,14,207,0.41980238,2.033927258,607.4662743,2.072741488,6,-0.160356745,4,1.275885714,0.81,4,0.63,0.63,0.52,0.24
149,amazon_review_polarity,101.2111111,9057,18,312,0.357269093,2.077462909,1865.561692,2.095731698,5,0.0,2,1.0,0.6,2,0.74,0.68,0.81,0.3
150,yelp_review_polarity,190.4911111,9348,8,1391,0.451092382,1.502852935,1349.561935,1.72704086,2,0.0,2,1.0,0.59,2,0.56,0.54,0.58,0.21
151,yelp_review_polarity,188.05,9144,4,1234,0.447018166,1.490127488,1338.134484,2.008463347,2,0.0,2,1.0,0.77,2,0.8,0.71,0.73,0.22
152,yelp_review_polarity,188.7766667,9366,5,1213,0.4551059,1.502176174,1348.954204,1.864336923,2,0.0,2,1.0,0.86,2,0.69,0.7,0.76,0.33
153,yelp_review_polarity,189.6677778,9162,6,1485,0.457494968,1.489847618,1337.883161,1.793798159,2,0.0,2,1.0,0.57,2,0.68,0.69,0.71,0.23
154,yahoo_answers,62.87,6239,3,1564,0.339592742,2.478217909,245.0682154,2.118117754,5,0.740295812,10,1.722264846,0.91,10,0.9,0.92,0.83,0.56
155,ag_news,45.95111111,7400,15,204,0.426727363,1.998112628,596.7696381,2.192181015,2,-0.593969696,4,2.07225344,0.66,4,0.64,0.67,0.63,0.21
156,dbpedia,64.6,9558,11,169,0.608828022,1.383612239,94.29849564,1.993084793,12,0.895516154,14,2.07953583,0.92,14,0.44,0.34,0.57,0.12
157,ag_news,45.88111111,7341,12,207,0.421227122,2.018440681,602.8409499,2.424895208,2,-0.286038777,4,1.333553719,0.67,4,0.66,0.56,0.51,0.17
158,dbpedia,67.86222222,9740,12,141,0.619734491,1.339311709,91.27924417,2.020237154,10,-0.569485921,14,2.21091038,0.95,14,0.39,0.32,0.52,0.03
159,amazon_review_polarity,97.32333333,8952,18,407,0.353011226,2.079314962,1867.224836,2.304330934,4,0.0,2,1.0,0.56,2,0.71,0.72,0.84,0.26
160,ag_news,45.73333333,7294,11,212,0.428613062,1.98964087,594.2394066,2.773113458,3,0.588977992,4,1.713144634,0.84,4,0.64,0.62,0.54,0.23
161,yelp_review_polarity,187.0822222,9171,4,1584,0.456460404,1.4773201,1326.63345,0.0,0,0.0,2,1.0,0.49,2,0.78,0.73,0.74,0.35
162,yahoo_answers,60.06111111,6187,3,516,0.332251373,2.512302839,248.4388363,2.753166727,3,0.150300903,10,1.713722359,0.94,10,0.9,0.84,0.86,0.59
163,yelp_review_polarity,191.9655556,9228,5,1135,0.450342161,1.49427192,1341.856184,1.880154907,2,0.0,2,1.0,0.97,2,0.74,0.8,0.82,0.39
164,yelp_review_polarity,180.1133333,9050,5,1258,0.447487256,1.517703922,1362.898122,1.751008877,2,0.0,2,1.0,0.54,2,0.72,0.77,0.77,0.35
165,ag_news,44.39333333,7214,14,197,0.427372153,2.006193657,599.1831723,2.232402119,2,-0.593442426,4,1.520907372,0.73,4,0.7,0.6,0.57,0.13
166,amazon_review_polarity,98.06333333,8929,20,254,0.350690904,2.100986639,1886.686002,2.270391955,2,0.0,2,1.0,0.9,2,0.68,0.64,0.76,0.26
167,dbpedia,68.02333333,9704,11,200,0.627010311,1.325757789,90.35549237,1.974012052,11,-0.404519917,14,2.515368727,0.93,14,0.41,0.34,0.64,0.11
168,yelp_review_polarity,186.3933333,9238,6,1327,0.450497054,1.508656843,1354.773845,2.001907552,2,0.0,2,1.0,0.66,2,0.76,0.79,0.83,0.37
169,amazon_review_polarity,99.40222222,8947,13,259,0.347537816,2.097972447,1883.979258,2.279386172,5,0.0,2,1.0,0.98,2,0.75,0.8,0.86,0.32
170,dbpedia,66.98666667,9721,11,204,0.615631549,1.358525639,92.58874741,1.868693667,16,0.13764944,14,3.653086981,0.99,14,0.47,0.38,0.57,0.06
171,amazon_review_polarity,99.52555556,9010,19,294,0.355644389,2.085802519,1873.050662,2.396065461,3,0.0,2,1.0,0.59,2,0.57,0.55,0.71,0.36
172,amazon_review_polarity,98.68555556,8936,11,457,0.347423341,2.109440275,1894.277367,2.341087049,2,0.0,2,1.0,0.47,2,0.78,0.76,0.87,0.24
173,amazon_review_polarity,94.88666667,8820,18,255,0.354442956,2.065014762,1854.383256,2.307060349,4,0.0,2,1.0,0.62,2,0.83,0.78,0.86,0.23
174,amazon_review_polarity,99.94,9248,16,474,0.353539421,2.081202674,1868.920001,1.89038632,3,0.0,2,1.0,0.76,2,0.75,0.8,0.85,0.36
175,amazon_review_polarity,99.76555556,9084,15,429,0.353640445,2.062108959,1851.773845,2.17482526,5,0.0,2,1.0,0.49,2,0.79,0.81,0.86,0.27
176,amazon_review_full,103.3888889,9216,16,526,0.253359024,2.049624427,458.6034656,2.398065077,2,-0.434372243,5,2.357336867,0.9,5,0.91,0.97,0.99,0.63
177,amazon_review_full,101.8655556,9038,17,367,0.259750414,2.055768248,459.9781455,2.339766242,4,-0.523822722,5,1.422934637,0.82,5,0.91,0.99,0.98,0.76
178,yelp_review_polarity,189.9044444,9424,7,1533,0.446559174,1.502445658,1349.196201,1.544821104,2,0.0,2,1.0,0.71,2,0.77,0.75,0.77,0.2
179,ag_news,46.29333333,7425,16,207,0.432288781,1.98348189,592.3999245,2.021503631,11,0.90913729,4,2.0,0.89,4,0.53,0.48,0.5,0.13
180,dbpedia,67.61666667,9620,9,182,0.625100788,1.323915847,90.22995698,2.047459182,10,0.818393207,14,2.886020653,0.92,14,0.43,0.29,0.57,0.05
182,ag_news,47.19,7437,10,386,0.424164863,2.017926694,602.6874392,2.680406485,2,-1.075705748,4,2.182857143,0.99,4,0.62,0.59,0.59,0.17
183,dbpedia,66.11333333,9540,11,182,0.616862871,1.360204502,92.70316834,1.933486741,11,0.439414504,14,2.616921684,0.95,14,0.42,0.29,0.51,0.11
184,amazon_review_polarity,98.70888889,8989,21,258,0.357744897,2.064253521,1853.699662,2.180514126,2,0.0,2,1.0,0.94,2,0.74,0.71,0.77,0.32
185,dbpedia,65.66666667,9525,10,192,0.626355297,1.343182796,91.54307362,2.147365548,9,0.916189922,14,3.866632627,0.93,14,0.43,0.32,0.56,0.04
186,dbpedia,65.69,9570,11,145,0.620368502,1.356236539,92.4327364,1.64452294,17,0.097823198,14,1.630663217,0.96,14,0.52,0.37,0.63,0.06
187,dbpedia,65.19,9552,11,214,0.613932015,1.364117541,92.96985701,1.857149281,10,-0.308639362,14,3.756132413,0.97,14,0.46,0.28,0.58,0.09
188,ag_news,45.31555556,7323,13,209,0.430912957,2.008769341,599.9524433,2.109242462,6,1.275585608,4,2.245140285,1.0,4,0.65,0.61,0.63,0.21
189,amazon_review_full,101.2455556,9017,22,343,0.259772999,2.032037299,454.6683456,2.380973611,3,0.0,5,1.389945468,0.85,5,0.87,0.99,0.98,0.68
190,amazon_review_polarity,98.35555556,8885,19,500,0.355732283,2.090105858,1876.91506,2.343727075,4,0.0,2,1.0,0.86,2,0.8,0.83,0.92,0.34
191,yelp_review_polarity,196.5122222,9569,5,1508,0.457783591,1.503688912,1350.312643,2.538648255,2,0.0,2,1.0,0.94,2,0.71,0.67,0.78,0.22
192,dbpedia,64.35888889,9426,5,163,0.617307383,1.353979675,92.27892245,1.820441907,14,-1.025405437,14,1.782130267,0.95,14,0.48,0.37,0.6,0.11
193,ag_news,46.40555556,7385,16,211,0.42321833,2.029745831,606.2174216,2.456637254,2,1.474617457,4,2.297959551,0.79,4,0.68,0.59,0.56,0.18
194,ag_news,44.94888889,7247,10,198,0.426661245,2.016770794,602.3422104,2.543873582,2,0.0,4,1.852071006,0.8,4,0.62,0.59,0.53,0.21
195,yelp_review_polarity,186.7844444,9242,6,1321,0.457060443,1.484273328,1332.877449,1.720528371,2,0.0,2,1.0,0.62,2,0.83,0.8,0.8,0.33
196,dbpedia,65.95555556,9543,11,138,0.619841216,1.356225138,92.43195937,1.811432541,15,-0.587486011,14,2.292956715,0.9,14,0.49,0.38,0.68,0.09
197,amazon_review_polarity,99.85111111,9257,18,320,0.355770302,2.063499339,1853.022406,2.310745273,4,0.0,2,1.0,0.99,2,0.78,0.8,0.84,0.28
198,amazon_review_polarity,102.2633333,8951,20,442,0.355858033,2.06149298,1851.220696,2.442797122,3,0.0,2,1.0,0.85,2,0.69,0.67,0.83,0.37
199,yelp_review_polarity,189.0711111,9441,3,1285,0.451607484,1.514931361,1360.408362,2.030345923,2,0.0,2,1.0,0.89,2,0.67,0.64,0.55,0.26
200,yahoo_answers,55.76111111,6000,3,362,0.332357951,2.502571488,247.4765138,2.258317154,6,0.117996895,10,1.582274409,0.91,10,0.9,0.87,0.84,0.55
201,yahoo_answers,57.35777778,6208,3,422,0.336127327,2.537875041,250.967643,2.673656645,3,0.258390361,10,3.92618144,0.96,10,0.9,0.91,0.85,0.54
205,amazon_review_full,99.82333333,8922,19,377,0.25268088,2.080669244,465.5497434,2.42005469,5,1.012220413,5,1.556207511,0.89,5,0.84,0.94,0.97,0.63
208,amazon_review_full,100.6455556,8995,20,260,0.254123923,2.099277037,469.713237,2.597881718,3,1.193335926,5,1.521182503,0.92,5,0.89,0.97,0.98,0.64
210,amazon_review_full,99.86555556,8940,18,369,0.259033587,2.04865212,458.3859119,2.330413976,5,-0.511495755,5,1.663737155,0.95,5,0.92,0.98,0.87,0.53
211,amazon_review_full,102.3922222,9117,20,343,0.254643394,2.044705519,457.50286,2.131630447,4,1.419696906,5,2.755473599,0.92,5,0.94,0.94,0.97,0.72
212,amazon_review_full,98.89111111,9139,19,458,0.252949861,2.074915637,464.2623737,2.59228683,3,1.373893698,5,2.872449439,0.83,5,0.92,0.98,0.94,0.63
215,amazon_review_full,103.4211111,9159,19,295,0.259509571,2.037252126,455.8351633,2.865110568,2,0.339031752,5,1.572141239,0.97,5,0.94,0.97,0.88,0.48
216,yahoo_answers,59.85333333,6328,3,1344,0.326736267,2.600624141,257.1728318,2.059780374,2,-0.218449176,10,2.018113037,0.9,10,0.87,0.9,0.86,0.52
219,amazon_review_full,104.0055556,9148,18,385,0.255111326,2.031636476,454.5786614,3.152279724,2,-0.829925003,5,2.196133555,0.78,5,0.9,0.98,0.99,0.66
